id,area,dpto,sexo,parent,edad,edu,ingreso,horas_semana,cotiza,lugar,meses,rama_4,rama_2,posic,fondo,cambiar,estable,t_actual,t_viaje,mas_h,medio,sintrab,n_comp,arl,caja,factor_exp,actividad,cotiza_fondo
7634024-1-1,Villavicencio,Meta,M,Jefe,68,Primaria,1200000,60,3,Vehículo,10,4921,49,Autonomo,NA,No,Si,10,NA,No,No se desplaza,Ahorro,Solo,No,No,287.33757311,Transporte terrestre; transporte por tuberías,Pensionado
7651710-1-2,Medellin,Antioquia,F,Pareja,20,Secundaria,1362000,48,1,Local fijo u oficina,8,5320,53,Obrero,1,No,Si,4,90,No,Metro,Ayuda familiar,201 o mas,Si,Si,1025.9133482,Correo y servicios de mensajería,Fondo privado
7632679-1-3,Ibague,Tolima,M,Hijo,37,Secundaria,1450000,48,1,Local fijo u oficina,12,8010,80,Obrero,1,No,Si,5,25,No,Moto,Ahorro,31 - 50,Si,Si,295.80603805,Actividades de seguridad e investigación privada,Fondo privado
7632756-1-1,Ibague,Tolima,M,Jefe,52,Secundaria,2460000,70,1,Local fijo u oficina,12,5611,56,Obrero,2,No,Si,36,20,No,Bus urbano,Ahorro,4 - 5,Si,Si,289.59744591,Actividades de servicios de comidas y bebidas,Colpensiones
7648820-1-1,Villavicencio,Meta,M,Jefe,41,Primaria,1300000,55,2,En la calle,12,5224,52,Autonomo,NA,No,Si,180,35,No,Bus urbano,Ayuda familiar,Solo,No,No,229.21896837,Almacenamiento y actividades complementarias al transporte,No cotiza
7649631-1-1,Cali,Valle,M,Jefe,53,Secundaria,1600000,48,1,Local fijo u oficina,12,1811,18,Obrero,2,No,Si,216,40,No,Transporte empresa,Ayuda familiar,201 o mas,Si,Si,1286.235558,Actividades de impresión y de producción de copias a partir de grabaciones originales,Colpensiones
7655154-1-1,Ibague,Tolima,F,Jefe,20,Universitaria,1400000,45,2,Local fijo u oficina,6,4752,47,Obrero,NA,No,Si,2,15,No,Moto,Ayuda familiar,2 - 3,No,No,411.14104843,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",No cotiza
7649715-1-1,Cali,Valle,F,Jefe,44,Secundaria,2250000,47,1,Local fijo u oficina,12,4773,47,Obrero,1,No,Si,60,10,No,A pie,No tendria recursos,101 - 200,Si,Si,1043.5928466,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",Fondo privado
7630275-1-1,Bogota,Bogota,F,Jefe,28,Universitaria,1500000,48,1,Local fijo u oficina,12,1084,10,Obrero,1,No,Si,48,3,No,A pie,Ahorro,20 - 30,Si,Si,4150.6682103,Elaboración de productos alimenticios,Fondo privado
7641711-1-1,Pasto,Narino,M,Jefe,57,Primaria,1000000,72,2,Vehículo,12,4921,49,Autonomo,NA,No,Si,180,5,No,A pie,Ahorro,Solo,No,No,143.93298898,Transporte terrestre; transporte por tuberías,No cotiza
7630605-1-2,Manizales,Caldas,F,Hijo,27,Técnico o tecnológico,1000000,60,2,Local fijo u oficina,8,4772,47,Obrero,NA,Si,No,4,20,No,Bus urbano,Ayuda familiar,2 - 3,No,No,100.85934701,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",No cotiza
7627692-1-1,Cartagena,Bolivar,F,Jefe,65,Primaria,1160000,40,1,Local fijo u oficina,12,8891,88,Obrero,2,No,Si,360,15,No,A pie,Cesantias,20 - 30,Si,Si,199.22069421,Actividades de asistencia social sin alojamiento,Colpensiones
7631921-1-1,Cucuta,Nte Santander,F,Jefe,41,Universitaria,2200000,48,1,Local fijo u oficina,12,4772,47,Empleador,1,No,Si,120,30,No,Auto particular,No tendria recursos,2 - 3,No,No,414.98763288,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",Fondo privado
7627987-1-1,Manizales,Caldas,M,Jefe,74,Primaria,600000,30,3,Local fijo u oficina,12,4752,47,Obrero,NA,No,Si,60,20,No,Auto particular,Otros,6 - 10,No,No,187.45591088,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",Pensionado
7639763-1-1,Cali,Valle,M,Jefe,30,Secundaria,1000000,40,2,En esta vivienda,12,4541,45,Autonomo,NA,No,Si,12,NA,Si,No se desplaza,Dinero prestado,Solo,No,No,148.07182768,"Comercio, mantenimiento y reparación de vehículos automotores y motocicletas, sus partes, piezas y accesorios",No cotiza
7637264-1-1,Barranquilla,Atlantico,M,Jefe,44,Secundaria,1300000,60,1,Local fijo u oficina,12,4742,47,Obrero,1,No,Si,245,60,No,Bus urbano,No lo ha considerado,6 - 10,Si,No,902.33478329,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",Fondo privado
7644090-1-3,Pasto,Narino,F,Hijo,52,Secundaria,800000,30,2,Otra vivienda,12,9700,97,Empleado domestico,NA,Si,No,36,20,Si,A pie,Ayuda familiar,Solo,No,No,109.31475513,Actividades de los hogares individuales como empleadores de personal doméstico,No cotiza
7649119-1-2,Pereira,Risaralda,F,Pareja,31,Secundaria,500000,24,2,Otra vivienda,12,9602,96,Autonomo,NA,No,No,48,20,No,Moto,Ayuda familiar,Solo,No,No,217.62684474,Otras actividades de servicios personales,No cotiza
7649296-1-3,Bucaramanga,Santander,F,Hijo,34,Universitaria,1800000,48,1,Local fijo u oficina,12,7420,74,Obrero,2,No,Si,16,15,No,Otro,Ayuda familiar,11 - 19,Si,Si,348.26888041,"Otras actividades profesionales, científicas y técnicas",Colpensiones
7627772-1-2,Cartagena,Bolivar,M,Pareja,65,Primaria,850000,50,2,En la calle,12,4781,47,Autonomo,NA,No,Si,192,15,No,Bus urbano,No tendria recursos,2 - 3,No,No,207.58608455,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",No cotiza
7647989-1-1,Manizales,Caldas,M,Jefe,63,Secundaria,2000000,25,2,En esta vivienda,12,9524,95,Autonomo,NA,No,Si,360,NA,No,No se desplaza,Ahorro,Solo,No,No,247.33766018,Reparación de calzado y artículos de cuero,No cotiza
7635344-1-2,Monteria,Cordoba,M,Pareja,38,Secundaria,2320000,48,1,Local fijo u oficina,12,8423,84,Funcionario,3,No,Si,228,20,No,Auto particular,Ayuda familiar,201 o mas,Si,No,166.77211533,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,Regimen especial
7642845-1-1,Cartagena,Bolivar,M,Jefe,62,Secundaria,10000000,40,2,En esta vivienda,12,5611,56,Empleador,NA,No,Si,120,NA,No,No se desplaza,No lo ha considerado,11 - 19,No,No,443.37705066,Actividades de servicios de comidas y bebidas,No cotiza
7644645-1-3,Bucaramanga,Santander,M,Hijo,51,Universitaria,NA,40,2,En esta vivienda,12,7310,73,Autonomo,NA,No,Si,60,NA,No,No se desplaza,Ayuda familiar,Solo,No,No,322.13461911,Publicidad y estudios de mercado,No cotiza
7642424-1-1,Barranquilla,Atlantico,F,Jefe,67,Especialización,3000000,48,1,Puerta-puerta,12,8412,84,Funcionario,2,No,Si,180,10,No,Taxi,Ayuda familiar,201 o mas,Si,Si,752.06931873,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,Colpensiones
7654807-1-2,Bucaramanga,Santander,M,Pareja,62,Primaria,600000,25,2,Vehículo,12,5320,53,Obrero,NA,No,Si,48,6,No,Moto,No lo ha considerado,6 - 10,No,No,234.64425092,Correo y servicios de mensajería,No cotiza
7634822-1-2,Medellin,Antioquia,F,Pareja,28,Universitaria,1500000,70,2,En la calle,12,4782,47,Autonomo,NA,No,Si,36,35,No,Bus urbano,No lo ha considerado,Solo,No,No,975.07262268,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",No cotiza
7633619-1-2,Medellin,Antioquia,F,Pareja,36,Técnico o tecnológico,1200000,47,1,Local fijo u oficina,12,4111,41,Obrero,1,No,Si,8,40,No,Moto,Cesantias,51 - 100,Si,Si,1045.5631238,Construcción de edificios,Fondo privado
7627783-1-4,Cartagena,Bolivar,F,Hijo,42,Secundaria,600000,48,2,En esta vivienda,12,5611,56,Autonomo,NA,Si,No,60,NA,No,No se desplaza,Ayuda familiar,2 - 3,No,No,187.48372847,Actividades de servicios de comidas y bebidas,No cotiza
7649671-1-2,Cali,Valle,M,Hijo,45,Universitaria,1400000,27,1,Local fijo u oficina,12,8553,85,Obrero,1,No,Si,120,15,No,Moto,Indemnizacion,6 - 10,Si,Si,1407.9808789,Educación,Fondo privado
7629822-1-4,Medellin,Antioquia,F,Otro pariente,56,Secundaria,1300000,48,1,Local fijo u oficina,12,1811,18,Obrero,1,No,Si,240,35,No,Metro,Ayuda familiar,31 - 50,Si,Si,1313.182751,Actividades de impresión y de producción de copias a partir de grabaciones originales,Fondo privado
7627908-1-3,Manizales,Caldas,F,Hijo,40,Universitaria,NA,47,1,Local fijo u oficina,12,8423,84,Funcionario,2,No,Si,180,20,No,Bus urbano,Ayuda familiar,201 o mas,Si,Si,207.97697685,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,Colpensiones
7632812-1-1,Cali,Valle,M,Jefe,22,Secundaria,1160000,48,1,Local fijo u oficina,12,6412,64,Obrero,1,No,Si,12,35,No,Bicicleta,Ahorro,101 - 200,Si,Si,605.92905979,"Actividades de servicios financieros, excepto las de seguros y de pensiones",Fondo privado
7641918-1-2,Bucaramanga,Santander,M,Pareja,35,Secundaria,1200000,40,2,Otra vivienda,12,9522,95,Autonomo,NA,No,No,24,30,No,Bus urbano,Ahorro,Solo,No,No,367.17227211,Reparación de calzado y artículos de cuero,No cotiza
7651914-1-1,Barranquilla,Atlantico,F,Jefe,41,Secundaria,1800000,60,1,Local fijo u oficina,12,6820,68,Obrero,1,No,Si,24,60,No,Bus intermunicipal,No lo ha considerado,31 - 50,Si,Si,554.28606778,Actividades inmobiliarias,Fondo privado
7651976-1-2,Barranquilla,Atlantico,F,Pareja,48,Universitaria,2320000,48,1,Local fijo u oficina,12,4111,41,Obrero,1,No,Si,300,30,No,Auto particular,Cesantias,201 o mas,Si,Si,684.38041509,Construcción de edificios,Fondo privado
7637397-1-4,Bogota,Bogota,F,Otro pariente,64,Universitaria,600000,24,2,Otra vivienda,12,8121,81,Autonomo,NA,No,No,60,60,No,SITP,Ayuda familiar,Solo,No,No,2614.723917,"Actividades de servicios a edificios y paisajismo (jardines, zonas verdes)",No cotiza
7637319-1-1,Barranquilla,Atlantico,M,Jefe,65,Universitaria,480000,24,2,Local fijo u oficina,12,4711,47,Obrero,NA,No,Si,12,30,No,Bus urbano,Ayuda familiar,2 - 3,No,No,725.24037333,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",No cotiza
7642482-1-4,Barranquilla,Atlantico,F,Nieto,29,Técnico o tecnológico,1160000,56,1,Local fijo u oficina,12,4772,47,Obrero,1,No,Si,36,30,No,Bus urbano,Ahorro,6 - 10,Si,Si,806.29680487,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",Fondo privado
7629204-2-2,Cali,Valle,F,Pareja,34,Secundaria,1160000,48,1,Local fijo u oficina,12,8621,86,Obrero,1,No,Si,12,45,No,SITP,Ahorro,201 o mas,Si,Si,1217.0856017,Actividades de atención de la salud humana,Fondo privado
7632081-1-3,Cucuta,Nte Santander,M,Hijo,22,Primaria,800000,44,2,Obra en construccion,12,4111,41,Autonomo,NA,Si,Si,24,20,No,Bus urbano,Ayuda familiar,2 - 3,No,No,614.21889034,Construcción de edificios,No cotiza
7649136-1-3,Pereira,Risaralda,M,Hijo,30,Secundaria,1160000,40,1,Vehículo,12,1082,10,Obrero,2,No,Si,60,20,No,Moto,Ayuda familiar,101 - 200,Si,Si,255.51355495,Elaboración de productos alimenticios,Colpensiones
7627521-1-1,Medellin,Antioquia,M,Jefe,70,Primaria,500000,42,2,En la calle,12,4520,45,Autonomo,NA,No,Si,420,90,No,Bus urbano,No tendria recursos,Solo,No,No,1083.7588711,"Comercio, mantenimiento y reparación de vehículos automotores y motocicletas, sus partes, piezas y accesorios",No cotiza
7630084-1-3,Barranquilla,Atlantico,M,Hijo,23,Secundaria,1200000,63,2,Local fijo u oficina,12,9602,96,Autonomo,NA,No,Si,7,20,No,Bus urbano,No tendria recursos,6 - 10,No,No,879.7764137,Otras actividades de servicios personales,No cotiza
7642556-1-2,Barranquilla,Atlantico,M,Pareja,29,Técnico o tecnológico,1300000,48,1,Local fijo u oficina,12,4752,47,Obrero,1,No,Si,96,60,No,Bicicleta,Ayuda familiar,20 - 30,Si,Si,687.71377114,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",Fondo privado
7629166-1-2,Cali,Valle,F,Pareja,29,Técnico o tecnológico,900000,40,2,Local fijo u oficina,12,3110,31,Autonomo,NA,No,Si,48,2,No,Moto,Ayuda familiar,2 - 3,No,No,742.84479545,"Fabricación de muebles, colchones y somieres",No cotiza
7653252-1-1,Monteria,Cordoba,F,Jefe,60,Primaria,2700000,28,2,En esta vivienda,12,5619,56,Autonomo,NA,Si,Si,72,NA,No,No se desplaza,Ayuda familiar,4 - 5,No,No,127.67065851,Actividades de servicios de comidas y bebidas,No cotiza
7639271-1-1,Pereira,Risaralda,M,Jefe,28,Técnico o tecnológico,2100000,48,1,Local fijo u oficina,12,8412,84,Funcionario,1,No,No,36,10,No,Moto,Cesantias,20 - 30,Si,Si,1017.5420156,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,Fondo privado
7655842-1-1,Pereira,Risaralda,F,Jefe,50,Secundaria,1300000,48,2,En la calle,12,4773,47,Obrero,NA,Si,Si,24,20,No,A pie,Ayuda familiar,2 - 3,No,No,207.54745183,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",No cotiza
7644243-1-1,Cucuta,Nte Santander,F,Jefe,39,Primaria,800000,50,2,Local fijo u oficina,12,5611,56,Obrero,NA,No,Si,4,30,No,A pie,No tendria recursos,2 - 3,No,No,483.56944117,Actividades de servicios de comidas y bebidas,No cotiza
7642424-1-2,Barranquilla,Atlantico,M,Hijo,26,Universitaria,2000000,48,1,Local fijo u oficina,12,6910,69,Obrero,1,No,Si,12,15,No,Auto particular,Ayuda familiar,6 - 10,Si,Si,752.06931873,Actividades jurídicas y de contabilidad,Fondo privado
7634067-1-4,Pasto,Narino,F,Hijo,26,Técnico o tecnológico,1300000,48,1,Local fijo u oficina,12,9602,96,Obrero,1,No,Si,15,25,No,Moto,No tendria recursos,6 - 10,Si,Si,171.34485661,Otras actividades de servicios personales,Fondo privado
7637167-1-2,Medellin,Antioquia,F,Pareja,28,Técnico o tecnológico,2700000,48,1,Local fijo u oficina,12,8621,86,Obrero,1,No,Si,10,30,No,Metro,Ayuda familiar,101 - 200,Si,Si,1583.8303666,Actividades de atención de la salud humana,Fondo privado
7655299-1-1,Cali,Valle,M,Jefe,33,Secundaria,NA,84,1,Local fijo u oficina,12,2930,29,Autonomo,1,No,No,144,50,Si,Moto,Ahorro,201 o mas,Si,No,1176.9351697,"Fabricación de vehículos automotores, remolques y semirremolques",Fondo privado
7635296-1-1,Monteria,Cordoba,F,Jefe,36,Maestría,4500000,48,1,Local fijo u oficina,12,4321,43,Obrero,1,No,Si,72,15,No,Auto particular,Ahorro,51 - 100,Si,No,443.00147373,Actividades especializadas para la construcción de edificios y obras de ingeniería civil,Fondo privado
7629067-1-1,Bucaramanga,Santander,M,Jefe,34,Maestría,4000000,42,1,Local fijo u oficina,10,8551,85,Autonomo,2,No,Si,10,10,No,Moto,Ayuda familiar,201 o mas,Si,No,555.23216598,Educación,Colpensiones
7629915-1-3,Medellin,Antioquia,F,Hijo,31,Secundaria,1160000,48,1,Local fijo u oficina,12,8621,86,Obrero,1,No,Si,18,40,No,SITP,Ahorro,101 - 200,Si,Si,696.95374738,Actividades de atención de la salud humana,Fondo privado
7635797-1-4,Cucuta,Nte Santander,F,Hermano,47,Secundaria,800000,60,2,Otra vivienda,12,1410,14,Autonomo,NA,No,No,60,30,No,Bus urbano,Ayuda familiar,Solo,No,No,272.17113128,Confección de prendas de vestir,No cotiza
7633673-1-1,Cartagena,Bolivar,M,Jefe,29,Primaria,1200000,48,2,Vehículo,12,4921,49,Autonomo,NA,No,Si,84,10,No,Taxi,No lo ha considerado,Solo,No,No,781.50302732,Transporte terrestre; transporte por tuberías,No cotiza
7648977-1-1,Cucuta,Nte Santander,M,Jefe,38,Técnico o tecnológico,1320000,47,2,Obra en construccion,10,4290,42,Obrero,NA,No,Si,3,5,No,A pie,Ayuda familiar,11 - 19,No,No,532.56746219,Obras de ingeniería civil,No cotiza
7648319-1-2,Monteria,Cordoba,F,Pareja,34,Universitaria,2300000,48,1,Local fijo u oficina,12,8530,85,Obrero,1,No,Si,24,20,No,Moto,Cesantias,31 - 50,Si,No,423.21310031,Educación,Fondo privado
7629065-1-1,Bucaramanga,Santander,M,Jefe,48,Especialización,2000000,40,2,Area rural,12,141,1,Empleador,NA,No,Si,204,180,No,Auto particular,Ahorro,4 - 5,No,No,2024.4866809,"Agricultura, ganadería, caza y actividades de servicios conexas",No cotiza
7633843-1-1,Monteria,Cordoba,M,Jefe,33,Universitaria,1800000,40,2,Local fijo u oficina,12,6910,69,Autonomo,NA,No,Si,60,20,No,Taxi,No lo ha considerado,Solo,No,No,716.36910473,Actividades jurídicas y de contabilidad,No cotiza
7654381-1-1,Cucuta,Nte Santander,M,Jefe,37,Secundaria,3078000,60,1,En la calle,12,8423,84,Funcionario,3,No,Si,180,30,No,Moto,Ayuda familiar,201 o mas,Si,Si,2510.8413292,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,Regimen especial
7647888-1-2,Manizales,Caldas,M,Otro pariente,32,Técnico o tecnológico,3000000,48,1,Local fijo u oficina,12,2593,25,Obrero,1,No,Si,108,10,No,Moto,No tendria recursos,201 o mas,Si,Si,211.0365232,"Fabricación de productos elaborados de metal, excepto maquinaria y equipo",Fondo privado
7647869-1-1,Manizales,Caldas,M,Jefe,39,Primaria,1350000,60,2,Otra vivienda,12,4111,41,Autonomo,NA,No,No,60,35,No,Bus urbano,No tendria recursos,Solo,No,No,254.22632387,Construcción de edificios,No cotiza
7628878-1-1,Pereira,Risaralda,M,Jefe,38,Técnico o tecnológico,2500000,47,1,Local fijo u oficina,12,4520,45,Obrero,1,No,Si,60,10,No,Moto,Ayuda familiar,11 - 19,Si,Si,198.15304907,"Comercio, mantenimiento y reparación de vehículos automotores y motocicletas, sus partes, piezas y accesorios",Fondo privado
7649116-1-3,Pereira,Risaralda,F,Hijo,38,Universitaria,NA,48,1,Local fijo u oficina,12,4631,46,Obrero,1,No,Si,22,55,No,Auto particular,Ayuda familiar,51 - 100,Si,Si,178.0873874,"Comercio al por mayor y en comisión o por contrata, excepto el comercio de vehículos automotores y motocicletas",Fondo privado
7649001-1-3,Cucuta,Nte Santander,M,Hijo,52,Secundaria,NA,50,2,En esta vivienda,12,4711,47,Trabajador familiar no remunerado,NA,No,No,180,NA,No,No se desplaza,Ayuda familiar,2 - 3,No,No,428.20479206,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",No cotiza
7648960-1-1,Cucuta,Nte Santander,M,Jefe,56,Primaria,600000,52,2,En la calle,12,5224,52,Autonomo,NA,No,No,240,25,No,Bus urbano,No tendria recursos,Solo,No,No,335.9674395,Almacenamiento y actividades complementarias al transporte,No cotiza
7654691-1-3,Pereira,Risaralda,F,Hijo,30,Universitaria,1500000,48,1,Local fijo u oficina,12,7911,79,Obrero,1,No,Si,10,10,No,Auto particular,Ayuda familiar,11 - 19,Si,Si,286.30937109,"Actividades de las agencias de viajes, operadores turísticos, servicios de reserva y actividades relacionadas",Fondo privado
7638923-1-1,Pasto,Narino,M,Jefe,51,Especialización,3600000,40,1,Local fijo u oficina,12,7020,70,Autonomo,1,No,Si,96,30,No,Auto particular,No lo ha considerado,Solo,Si,No,152.87621604,Actividades de administración empresarial; actividades de consultoría de gestión,Fondo privado
7638873-1-3,Pasto,Narino,M,Hijo,31,Universitaria,500000,35,2,En esta vivienda,12,9511,95,Autonomo,NA,Si,No,36,NA,Si,No se desplaza,Ayuda familiar,Solo,No,No,220.48268103,Reparación de calzado y artículos de cuero,No cotiza
7634742-1-2,Medellin,Antioquia,M,Pareja,36,Técnico o tecnológico,1100000,47,1,Local fijo u oficina,12,1081,10,Obrero,1,No,Si,22,35,No,Moto,No tendria recursos,201 o mas,Si,Si,5354.1256118,Elaboración de productos alimenticios,Fondo privado
7630234-1-2,Bogota,Bogota,F,Hijo,26,Universitaria,3500000,47,1,Local fijo u oficina,12,8414,84,Funcionario,1,No,Si,1,30,No,SITP,Ayuda familiar,201 o mas,Si,Si,3274.225026,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,Fondo privado
7651873-1-1,Medellin,Antioquia,M,Jefe,27,Secundaria,500000,48,2,Local fijo u oficina,1,4520,45,Autonomo,NA,No,Si,18,60,No,Metro,No lo ha considerado,4 - 5,No,No,807.55392096,"Comercio, mantenimiento y reparación de vehículos automotores y motocicletas, sus partes, piezas y accesorios",No cotiza
7654224-1-1,Pasto,Narino,M,Jefe,41,Secundaria,500000,74,2,Local fijo u oficina,12,1521,15,Obrero,NA,Si,No,18,60,No,A pie,Dinero prestado,6 - 10,No,No,217.67440815,"Curtido y recurtido de cueros; fabricación de calzado; fabricación de artículos de viaje, maletas, bolsos de mano y artículos similares, y fabricación de artículos de talabartería y guarnicionería; adobo y teñido de pieles",No cotiza
7654855-1-1,Bucaramanga,Santander,F,Jefe,56,Técnico o tecnológico,1600000,30,1,Local fijo u oficina,12,4290,42,Obrero,1,No,Si,144,50,No,Bus urbano,Ayuda familiar,31 - 50,Si,Si,429.59561298,Obras de ingeniería civil,Fondo privado
7644807-1-3,Ibague,Tolima,M,Hijo,15,Primaria,900000,40,2,Obra en construccion,2,4111,41,Autonomo,NA,No,No,2,40,No,Bus urbano,Ayuda familiar,Solo,No,No,242.75417103,Construcción de edificios,No cotiza
7634365-1-2,Cali,Valle,M,Pareja,54,Técnico o tecnológico,1160000,48,1,Local fijo u oficina,12,8621,86,Obrero,2,No,Si,36,15,No,Moto,Ayuda familiar,51 - 100,Si,Si,1155.7642046,Actividades de atención de la salud humana,Colpensiones
7642806-1-2,Cartagena,Bolivar,F,Pareja,36,Técnico o tecnológico,1160000,48,1,Local fijo u oficina,12,4771,47,Obrero,1,Si,Si,14,30,No,Mototaxi,Ayuda familiar,51 - 100,Si,Si,330.7896393,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",Fondo privado
7629013-1-3,Bucaramanga,Santander,M,Nieto,20,Secundaria,NA,24,2,Local fijo u oficina,12,4711,47,Trabajador familiar no remunerado,NA,No,Si,24,3,No,A pie,Ayuda familiar,4 - 5,No,No,880.32653641,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",No cotiza
7654390-1-1,Cucuta,Nte Santander,M,Jefe,36,Secundaria,1000000,48,2,Otra vivienda,12,8129,81,Autonomo,NA,No,Si,12,15,No,Moto,No tendria recursos,Solo,No,No,651.50272157,"Actividades de servicios a edificios y paisajismo (jardines, zonas verdes)",No cotiza
7643918-1-1,Villavicencio,Meta,M,Jefe,74,Ninguno,1600000,48,2,Area rural,12,141,1,Obrero,NA,No,Si,120,30,No,Bus intermunicipal,Ahorro,11 - 19,Si,No,244.05491252,"Agricultura, ganadería, caza y actividades de servicios conexas",No cotiza
7644017-1-2,Pasto,Narino,F,Hijo,25,Universitaria,1460000,48,2,Local fijo u oficina,12,5611,56,Obrero,NA,No,Si,12,25,No,Bus urbano,Ayuda familiar,4 - 5,No,No,90.454264944,Actividades de servicios de comidas y bebidas,No cotiza
7642539-1-5,Barranquilla,Atlantico,M,Hijo,32,Secundaria,1600000,60,1,Obra en construccion,12,4112,41,Obrero,2,No,Si,18,180,No,Bus intermunicipal,No tendria recursos,201 o mas,Si,Si,545.75692919,Construcción de edificios,Colpensiones
7638891-1-1,Pasto,Narino,M,Jefe,31,Especialización,2150000,40,1,Local fijo u oficina,10,8891,88,Autonomo,1,Si,No,3,35,No,Bus urbano,No tendria recursos,31 - 50,Si,No,200.32568653,Actividades de asistencia social sin alojamiento,Fondo privado
7652619-1-1,Manizales,Caldas,M,Jefe,46,Universitaria,6500000,48,1,En esta vivienda,12,6523,65,Obrero,1,No,Si,15,NA,No,No se desplaza,Ayuda familiar,201 o mas,Si,Si,189.59587927,"Seguros (incluso el reaseguro), seguros sociales y fondos de pensiones, excepto la seguridad social",Fondo privado
7647927-1-2,Manizales,Caldas,M,Pareja,50,Primaria,1160000,47,1,Local fijo u oficina,12,1082,10,Obrero,1,No,Si,36,60,No,Transporte empresa,No tendria recursos,201 o mas,Si,Si,255.32725451,Elaboración de productos alimenticios,Fondo privado
7635088-1-1,Manizales,Caldas,M,Jefe,59,Primaria,NA,84,2,Local fijo u oficina,12,4711,47,Autonomo,NA,No,Si,23,NA,No,No se desplaza,Ayuda familiar,Solo,No,No,146.95204187,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",No cotiza
7634797-1-1,Medellin,Antioquia,M,Jefe,45,Especialización,NA,45,1,Local fijo u oficina,12,8424,84,Funcionario,2,No,Si,58,20,No,Moto,No tendria recursos,201 o mas,Si,Si,1466.5095987,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,Colpensiones
7655142-1-1,Ibague,Tolima,F,Jefe,31,Técnico o tecnológico,600000,84,2,Local fijo u oficina,5,5221,52,Obrero,NA,Si,Si,3,5,No,A pie,No tendria recursos,2 - 3,No,No,196.2052219,Almacenamiento y actividades complementarias al transporte,No cotiza
7637388-1-1,Bogota,Bogota,M,Jefe,58,Secundaria,2700000,45,1,Local fijo u oficina,12,8414,84,Funcionario,2,No,Si,290,40,No,Bicicleta,Vender bienes,201 o mas,Si,Si,3164.0774009,Administración pública y defensa; planes de seguridad social de afiliación obligatoria,Colpensiones
7644840-1-1,Ibague,Tolima,F,Jefe,45,Técnico o tecnológico,1160000,48,1,Local fijo u oficina,12,8121,81,Obrero,1,No,Si,12,15,No,Bus urbano,Ahorro,201 o mas,Si,Si,488.12387888,"Actividades de servicios a edificios y paisajismo (jardines, zonas verdes)",Fondo privado
7654363-1-1,Cucuta,Nte Santander,M,Jefe,43,Primaria,800000,60,2,Local fijo u oficina,12,4520,45,Autonomo,NA,Si,No,180,15,No,Moto,No tendria recursos,Solo,No,No,377.89361945,"Comercio, mantenimiento y reparación de vehículos automotores y motocicletas, sus partes, piezas y accesorios",No cotiza
7643857-1-2,Villavicencio,Meta,M,Hijo,45,Secundaria,1000000,48,2,Local fijo u oficina,12,4755,47,Obrero,NA,Si,No,1,35,No,Bus urbano,No lo ha considerado,20 - 30,No,No,315.7011516,"Comercio al por menor (incluso el comercio al por menor de combustibles), excepto el de vehículos automotores y motocicletas",No cotiza
7652702-1-1,Manizales,Caldas,F,Jefe,57,Universitaria,1400000,47,3,Local fijo u oficina,12,1620,16,Obrero,NA,No,Si,36,40,No,Bus urbano,Ahorro,11 - 19,Si,Si,159.0240122,"Transformación de la madera y fabricación de productos de madera y de corcho, excepto muebles; fabricación de artículos de cestería y espartería",Pensionado
7651685-1-1,Medellin,Antioquia,M,Jefe,34,Universitaria,3900000,60,2,Local fijo u oficina,12,9602,96,Empleador,NA,No,Si,60,15,No,A pie,No tendria recursos,2 - 3,No,No,1055.886911,Otras actividades de servicios personales,No cotiza
